sure_s,kazanan_drone_id,kazanan_teklif_puani,enlem_deg,boylam_deg,mutlak_irtifa_m,bagil_irtifa_m,home_mesafesi_m,hedef_mesafesi_m
0.018,3,102.292,47.397966,8.5461682,0.229,0.008,0.0,2.238
0.036,3,102.292,47.397966,8.5461682,0.229,0.008,0.0,2.238
0.056,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.077,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.096,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.117,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.137,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.156,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.176,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.197,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.217,3,102.292,47.397966,8.5461682,0.229,0.0,0.0,2.238
0.237,3,102.292,47.397966,8.5461682,0.228,0.0,0.0,2.238
0.256,3,102.292,47.397966,8.5461682,0.228,0.0,0.0,2.238
0.277,3,102.292,47.397966,8.5461682,0.228,0.0,0.0,2.238
0.297,3,102.292,47.397966,8.5461682,0.228,0.0,0.0,2.238
0.317,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.336,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.356,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.376,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.396,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.417,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.437,3,102.292,47.397966,8.5461682,0.228,-0.001,0.0,2.238
0.457,3,102.292,47.397966,8.5461682,0.227,-0.001,0.0,2.238
0.477,3,102.292,47.397966,8.5461682,0.227,-0.001,0.0,2.238
0.497,3,102.292,47.397966,8.5461682,0.227,-0.001,0.0,2.238
0.517,3,102.292,47.397966,8.5461682,0.227,-0.002,0.0,2.238
0.537,3,102.292,47.397966,8.5461682,0.227,-0.002,0.0,2.238
0.556,3,102.292,47.397966,8.5461682,0.227,-0.002,0.0,2.238
0.58,3,102.292,47.397966,8.5461682,0.227,-0.002,0.0,2.238
0.597,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.617,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.638,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.656,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.677,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.697,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.717,3,102.292,47.397966,8.5461682,0.226,-0.002,0.0,2.238
0.739,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.756,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.777,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.797,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.817,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.836,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.857,3,102.292,47.397966,8.5461682,0.226,-0.003,0.0,2.238
0.877,3,102.292,47.397966,8.5461682,0.225,-0.003,0.0,2.238
0.898,3,102.292,47.397966,8.5461682,0.225,-0.003,0.0,2.238
0.917,3,102.292,47.397966,8.5461682,0.225,-0.003,0.0,2.238
0.937,3,102.292,47.397966,8.5461682,0.225,-0.004,0.0,2.238
0.956,3,102.292,47.397966,8.5461683,0.225,-0.004,0.008,2.244
0.977,3,102.292,47.397966,8.5461683,0.225,-0.004,0.008,2.244
0.996,3,102.292,47.397966,8.5461683,0.225,-0.004,0.008,2.244
1.017,3,102.292,47.397966,8.5461683,0.225,-0.004,0.008,2.244
1.036,3,102.292,47.3979661,8.5461683,0.225,-0.004,0.013,2.24
1.057,3,102.292,47.3979661,8.5461683,0.224,-0.004,0.013,2.24
1.076,3,102.292,47.3979661,8.5461683,0.224,-0.004,0.013,2.24
1.097,3,102.292,47.3979661,8.5461683,0.224,-0.005,0.013,2.24
1.118,3,102.292,47.3979661,8.5461683,0.224,-0.005,0.013,2.24
1.137,3,102.292,47.3979661,8.5461683,0.224,-0.005,0.013,2.24
1.156,3,102.292,47.3979661,8.5461683,0.223,-0.005,0.013,2.24
1.176,3,102.292,47.3979661,8.5461683,0.223,-0.006,0.013,2.24
1.197,3,102.292,47.3979661,8.5461683,0.223,-0.006,0.013,2.24
1.217,3,102.292,47.3979661,8.5461683,0.223,-0.006,0.013,2.24
1.237,3,102.292,47.3979661,8.546168399999999,0.222,-0.006,0.019,2.246
1.257,3,102.292,47.3979661,8.546168399999999,0.222,-0.006,0.019,2.246
1.277,3,102.292,47.3979661,8.546168399999999,0.222,-0.007,0.019,2.246
1.297,3,102.292,47.3979661,8.546168399999999,0.222,-0.007,0.019,2.246
1.317,3,102.292,47.3979661,8.546168399999999,0.221,-0.008,0.019,2.246
1.337,3,102.292,47.3979661,8.546168399999999,0.221,-0.008,0.019,2.246
1.357,3,102.292,47.3979661,8.546168399999999,0.22,-0.008,0.019,2.246
1.376,3,102.292,47.3979661,8.546168399999999,0.22,-0.009,0.019,2.246
1.403,3,102.292,47.3979661,8.546168399999999,0.22,-0.009,0.019,2.246
1.419,3,102.292,47.3979661,8.546168399999999,0.219,-0.009,0.019,2.246
1.437,3,102.292,47.3979661,8.546168399999999,0.219,-0.01,0.019,2.246
1.457,3,102.292,47.3979661,8.546168399999999,0.219,-0.01,0.019,2.246
1.476,3,102.292,47.3979661,8.546168399999999,0.218,-0.01,0.019,2.246
1.498,3,102.292,47.3979661,8.546168399999999,0.218,-0.011,0.019,2.246
1.517,3,102.292,47.3979661,8.546168399999999,0.218,-0.011,0.019,2.246
1.536,3,102.292,47.3979661,8.546168399999999,0.217,-0.011,0.019,2.246
1.556,3,102.292,47.3979661,8.546168399999999,0.217,-0.011,0.019,2.246
1.576,3,102.292,47.3979662,8.546168399999999,0.217,-0.012,0.027,2.241
1.597,3,102.292,47.3979662,8.546168399999999,0.217,-0.012,0.027,2.241
1.617,3,102.292,47.3979662,8.546168399999999,0.217,-0.012,0.027,2.241
1.637,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.657,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.677,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.696,3,102.292,47.3979662,8.546168399999999,0.216,-0.012,0.027,2.241
1.717,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.737,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.757,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.776,3,102.292,47.3979662,8.546168399999999,0.216,-0.013,0.027,2.241
1.796,3,102.292,47.3979662,8.546168399999999,0.215,-0.013,0.027,2.241
1.817,3,102.292,47.3979662,8.546168399999999,0.215,-0.013,0.027,2.241
1.836,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.857,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.877,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.897,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.917,3,102.292,47.3979662,8.546168399999999,0.215,0.0,0.027,2.241
1.937,3,102.292,47.3979662,8.546168399999999,0.214,0.0,0.027,2.241
1.956,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
1.977,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
1.997,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.017,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.036,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.056,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.076,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.097,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.117,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.137,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
2.157,3,102.292,47.3979662,8.546168399999999,0.214,-0.001,0.027,2.241
